"Symbol","ListedDate","ListedYear","ABSymbol","HSymbol","EstablishDate","IpoDate","CompanyListedDate","IsIPO","TotalShares","IssuePrice","CurrencyCode","ClosePrice","ReturnRate","TurnoverRate1","TurnoverRate2","PE","PB"
"000001","1991-04-03","1991","","","1987-12-22","1989-03-10","1991-04-03","A","350000","40.0000","CNY","49.000","0.225000","0.00000","0.00000","",""
"000002","1991-01-29","1991","","02202","1984-05-30","1988-12-28","1991-01-29","A","28000000","1.0000","CNY","14.580","13.580000","0.00004","0.00005","",""
"000003","1991-07-03","1991","","","1988-11-09","1989-02-28","1991-07-03","A","42716330","10.0000","CNY","6.300","-0.370000","0.00303","0.00536","",""
"000004","1991-01-14","1991","","","1986-05-05","1989-12-23","1991-01-14","A","12500000","1.0000","CNY","15.980","14.980000","0.00004","0.00010","",""
"000005","1990-12-10","1990","","","1987-07-23","1990-03-03","1990-12-10","A","44338500","10.0000","CNY","18.030","0.803000","","","","24.66"
"000006","1992-04-27","1992","","","1989-04-01","1989-08-01","1992-04-27","A","690000","10.0000","CNY","38.500","2.850000","0.00259","0.00420","51.85","17.95"
"000007","1992-04-13","1992","","","1988-11-21","1988-12-01","1992-04-13","A","8400000","1.0000","CNY","24.300","23.300000","0.00751","0.01899","66.01",""
"000008","1992-05-07","1992","","","1989-10-11","1989-10-01","1992-05-07","A","1000000","10.0000","CNY","20.650","1.065000","0.00669","0.01421","",""
"000009","1991-06-25","1991","","","1983-07-01","1991-06-14","1991-06-25","A","60000000","3.0000","CNY","4.300","0.433333","0.00182","0.00485","",""
"000010","1995-10-27","1995","","","1988-12-31","1993-06-01","1995-10-27","A","16998928","1.0000","CNY","14.080","13.080000","0.25057","0.77191","115.78","11.60"
"000011","1992-03-30","1992","200011","","1983-01-17","1991-10-01","1992-03-30","A","41500000","3.6000","CNY","11.000","2.055556","0.00179","0.01319","",""
"000012","1992-02-28","1992","200012","","1984-09-10","1991-12-03","1992-02-28","B","20300000","3.3800","CNY","10.500","2.106509","0.00108","0.00682","65.91","23.38"
"000013","1992-05-06","1992","","","1992-03-18","1991-12-11","1992-05-06","A","23500000","2.8000","CNY","18.600","5.642857","0.00404","0.02803","59.25","14.83"
"000014","1992-06-02","1992","","","1992-04-21","1991-12-19","1992-06-02","A","11000000","2.3800","CNY","25.000","9.504202","0.00358","0.00950","122.47","35.82"
"000015","1992-06-25","1992","","","1992-05-08","1991-12-14","1992-06-25","A","14400000","2.7800","CNY","17.050","5.133094","0.00429","0.03088","","20.62"
"000016","1992-03-27","1992","200016","","1980-10-01","1991-12-24","1992-03-27","B","30150000","3.9000","CNY","11.850","2.038462","0.00270","0.01417","23.94","12.08"
"000017","1992-03-31","1992","200017","","1992-03-12","1991-12-28","1992-03-31","B","32800000","3.7500","CNY","12.900","2.440000","0.00173","0.01267","73.72",""
"000018","1992-06-16","1992","","","1992-05-09","1992-01-07","1992-06-16","A","15200000","1.5000","CNY","14.050","8.366667","0.00427","0.04525","","16.29"
"000019","1992-10-12","1992","200019","","1992-08-06","1991-12-01","1992-10-12","A","19400000","2.1000","CNY","16.150","6.690476","0.00516","0.03459","90.95",""
"000020","1992-04-28","1992","200020","","1992-03-30","1992-01-20","1992-04-28","A","29630000","1.9000","CNY","13.900","6.315789","0.00338","0.02629","",""
"000021","1994-02-02","1994","","","1993-12-29","1993-11-22","1994-02-02","A","25675000","4.6500","CNY","7.900","0.698925","0.01273","0.09341","38.28",""
"000022","1993-05-05","1993","201872","","1993-03-21","1993-02-18","1993-05-05","A","46000000","3.1000","CNY","14.500","3.677419","0.00513","0.03981","",""
"000023","1993-04-29","1993","","","1984-09-18","1993-03-01","1993-04-29","A","25300000","3.1000","CNY","16.850","4.435484","0.03078","0.10170","","43.19"
"000024","1993-06-07","1993","","","1993-04-10","1993-03-15","1993-06-07","A","27000000","3.4000","CNY","12.600","2.705882","0.00230","0.02413","115.95",""
"000025","1993-06-21","1993","200025","","1993-04-18","1993-03-15","1993-06-21","B","25980000","4.1800","CNY","11.800","1.822967","0.00306","0.02342","58.29",""
"000026","1993-06-03","1993","200026","","1993-04-18","1993-03-10","1993-06-03","A","12500000","3.6000","CNY","14.500","3.027778","0.00663","0.04045","","15.07"
"000027","1993-09-03","1993","","","1993-06-02","1993-04-06","1993-09-03","A","107300000","3.5000","CNY","12.600","2.600000","0.01557","0.06002","","6.93"
"000028","1993-08-09","1993","200028","","1993-07-03","1993-05-05","1993-08-09","A","30000000","3.5000","CNY","10.100","1.885714","0.01114","0.07092","","11.40"
"000029","1993-09-15","1993","200029","","1993-08-15","1993-06-21","1993-09-15","A","112000000","3.8000","CNY","11.300","1.973684","0.00601","0.04060","56.46","8.62"
"000030","1993-09-29","1993","200030","","1993-08-28","1993-06-28","1993-09-29","A","43500000","4.5500","CNY","11.600","1.549451","0.00664","0.05802","40.96","16.99"
"000031","1993-10-08","1993","","","1993-09-26","1993-08-08","1993-10-08","A","67000000","4.3800","CNY","11.600","1.648402","0.01526","0.06102","23.31",""
"000032","1993-10-28","1993","","","1993-09-26","1993-08-12","1993-10-28","A","27500000","3.3600","CNY","9.700","1.886905","0.02431","0.09637","56.36",""
"000033","1994-01-03","1994","","","1990-03-08","1993-09-30","1994-01-03","A","42000000","3.1500","CNY","5.700","0.809524","0.00779","0.05611","","7.21"
"000034","1994-05-09","1994","","","1982-06-01","1993-10-18","1994-05-09","A","46800000","5.2000","CNY","6.760","0.300000","0.03020","0.12987","15.22",""
"000035","1994-04-08","1994","","","1984-12-31","1993-11-24","1994-04-08","A","15000000","3.9000","CNY","10.250","1.628205","0.09439","0.63748","",""
"000036","1994-06-17","1994","","","1994-01-29","1993-12-13","1994-06-17","A","34100000","2.6000","CNY","3.920","0.507692","0.11491","0.45716","",""
"000037","1994-07-01","1994","200037","","1993-11-25","1994-01-03","1994-07-01","A","40000000","4.6000","CNY","4.810","0.045652","0.02670","0.25458","8.31",""
"000038","1994-08-08","1994","","","1987-06-24","1993-12-10","1994-08-08","A","12000000","3.6800","CNY","8.500","1.309783","0.04932","0.33737","","4.11"
"000039","1994-04-08","1994","","02039","1980-01-14","1994-02-01","1994-04-08","B","12000000","8.5000","CNY","13.000","0.529412","0.05986","0.44396","25.94",""
"000040","1994-08-08","1994","","","1993-12-30","1994-02-18","1994-08-08","A","22000000","6.0000","CNY","8.650","0.441667","0.04882","0.24884","18.84",""
"000042","1994-09-21","1994","","","1994-09-13","1994-05-26","1994-09-21","A","16300000","10.8000","CNY","23.380","1.164815","0.06207","0.26879","13.69","8.52"
"000043","1994-09-28","1994","","","1994-09-24","1994-06-06","1994-09-28","A","20280000","5.5000","CNY","12.450","1.263636","0.06974","0.38000","23.07","10.79"
"000045","1994-08-15","1994","200045","","1994-08-06","1994-05-28","1994-08-15","A","16800000","3.9000","CNY","6.280","0.610256","0.07053","0.67165","18.02","3.74"
"000046","1994-09-12","1994","","","1989-01-04","1994-05-31","1994-09-12","A","13000000","6.3000","CNY","16.920","1.685714","0.13545","0.44862","34.61","12.95"
"000047","1994-10-21","1994","","","1994-09-28","1994-06-20","1994-10-21","A","16000000","4.0500","CNY","10.400","1.567901","0.21384","1.24739","23.14","11.20"
"000048","1994-11-01","1994","","","1994-09-21","1994-06-23","1994-11-01","A","21800000","4.8000","CNY","8.860","0.845833","0.11803","0.54294","26.21","4.09"
"000049","1995-03-20","1995","","","1995-02-18","1995-01-10","1995-03-20","A","14000000","4.9500","CNY","8.690","0.755556","0.13379","0.51946","47.61",""
"000050","1995-03-15","1995","","","1995-02-26","1995-01-16","1995-03-15","A","11000000","4.5000","CNY","10.050","1.233333","0.10200","0.77011","27.33","7.02"
"000055","1996-04-15","1996","200055","","1994-03-31","1996-03-29","1996-04-15","B","20000000","5.1800","CNY","8.460","0.633205","0.09740","0.81170","30.41","5.73"
"000056","1996-07-08","1996","200056","","1993-03-18","1996-06-21","1996-07-08","B","20000000","4.7800","CNY","8.650","0.809623","0.08008","0.61424","32.48","5.83"
"000058","1996-12-26","1996","200058","","1996-07-16","1996-12-12","1996-12-26","B","25000000","6.8000","CNY","16.710","1.457353","0.03720","0.54332","58.64","16.44"
"000059","1997-01-30","1997","","","1997-01-18","1997-01-03","1997-01-30","A","130000000","5.3800","CNY","11.200","1.081784","0.14461","0.76015","","57.53"
"000060","1997-01-23","1997","","","1994-06-06","1997-01-10","1997-01-23","A","18000000","8.0000","CNY","19.500","1.437500","0.15036","0.60144","44.75","8.27"
"000061","1997-01-10","1997","","","1994-01-19","1996-12-26","1997-01-10","A","19000000","8.3800","CNY","21.140","1.522673","0.29674","0.79153","59.84","11.28"
"000062","1997-01-30","1997","","","1994-01-19","1997-01-20","1997-01-30","A","18000000","11.4000","CNY","21.870","0.918421","0.14319","0.57275","24.76","7.28"
"000063","1997-11-18","1997","","00763","1997-11-11","1997-10-06","1997-11-18","A","65000000","6.8100","CNY","20.860","2.063142","0.15887","0.67895","52.65","40.19"
"000065","1998-06-05","1998","","","1984-12-01","1998-04-16","1998-06-05","A","12500000","3.9800","CNY","18.350","3.610553","0.16077","0.71455","78.28","24.42"
"000066","1997-06-26","1997","","","1997-06-20","1997-06-10","1997-06-26","A","57000000","6.5800","CNY","23.200","2.525836","0.21848","0.67525","60.10","23.91"
"000068","1997-06-11","1997","","","1997-06-06","1997-05-21","1997-06-11","A","150000000","5.4500","CNY","12.980","1.381651","0.18825","0.73068","33.10","11.84"
"000069","1997-09-10","1997","","","1997-09-02","1997-08-04","1997-09-10","A","50000000","6.1800","CNY","13.000","1.103560","0.14858","0.62587","51.00","11.44"
"000070","2000-05-11","2000","","","1999-07-29","2000-03-24","2000-05-11","A","70000000","7.9000","CNY","28.700","2.632911","0.12588","0.49952","136.96","26.56"
"000078","1998-12-18","1998","","","1998-09-01","1998-08-07","1998-12-18","A","19100000","5.3600","CNY","23.790","3.438433","0.14155","0.62909","100.10","31.72"
"000088","1997-07-28","1997","","","1997-07-21","1997-07-07","1997-07-28","A","125000000","5.3100","CNY","10.710","1.016949","0.12735","0.63966","37.35","8.85"
"000089","1998-04-20","1998","","","1998-04-10","1998-03-11","1998-04-20","A","100000000","6.3800","CNY","10.050","0.575235","0.16427","0.51469","30.85","10.55"
"000090","1999-07-21","1999","","","1993-12-06","1999-07-01","1999-07-21","A","58000000","8.0000","CNY","20.670","1.583750","0.16977","0.72613","57.20","10.68"
"000096","2000-07-24","2000","","","1999-02-18","2000-07-10","2000-07-24","A","85000000","6.0000","CNY","11.590","0.931667","0.13475","0.52314","83.19","9.97"
"000099","2000-07-31","2000","","","1999-02-11","2000-07-03","2000-07-31","A","60000000","10.2000","CNY","19.500","0.911765","0.13917","0.45463","83.49","16.98"
"000100","2004-01-30","2004","","","2002-04-19","2004-01-07","2004-01-30","A","994395944","4.2600","CNY","7.590","0.781690","0.19452","0.50593","46.23","10.33"
"000150","2000-08-07","2000","","","1993-02-19","2000-07-21","2000-08-07","A","70000000","7.6800","CNY","17.870","1.326823","0.22593","0.58097","88.85","25.90"
"000151","2000-09-06","2000","","","1999-03-01","2000-08-14","2000-09-06","A","70000000","7.7800","CNY","17.930","1.304627","0.19068","0.53750","66.67","17.03"
