"Markettype","Trdmnt","Cmretwdeq","Cmretmdeq","Cmretwdos","Cmretmdos","Cmretwdtl","Cmretmdtl","Cmnstkcal","Cmmvosd","Cmmvttl"
"5","1990-12","","","","","","","6","624165.96","2082551.36"
"15","1990-12","","","","","","","6","624165.96","2082551.36"
"21","1990-12","","","","","","","6","624165.96","2082551.36"
"31","1990-12","","","","","","","6","624165.96","2082551.36"
"63","1990-12","","","","","","","6","624165.96","2082551.36"
"37","1990-12","","","","","","","6","624165.96","2082551.36"
"47","1990-12","","","","","","","6","624165.96","2082551.36"
"53","1990-12","","","","","","","6","624165.96","2082551.36"
"69","1990-12","","","","","","","6","624165.96","2082551.36"
"79","1990-12","","","","","","","6","624165.96","2082551.36"
"85","1990-12","","","","","","","6","624165.96","2082551.36"
"95","1990-12","","","","","","","6","624165.96","2082551.36"
"101","1990-12","","","","","","","6","624165.96","2082551.36"
"111","1990-12","","","","","","","6","624165.96","2082551.36"
"117","1990-12","","","","","","","6","624165.96","2082551.36"
"127","1990-12","","","","","","","6","624165.96","2082551.36"
"33","1990-12","","","","","","","6","624165.96","2082551.36"
"5","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"15","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"21","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"31","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"63","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"37","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"47","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"53","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"69","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"79","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"85","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"95","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"101","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"111","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"117","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"127","1991-01","0.036554","0.036554","0.029998","0.029998","0.040097","0.040097","10","1931395.00","4570745.48"
"33","1991-01","0.031332","0.031332","0.029998","0.029998","0.040097","0.040097","7","765319.71","2340955.86"
"20","1991-01","","","","","","","3","1166075.29","2229789.62"
"5","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"15","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"21","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"31","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"63","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"37","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"47","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"53","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"69","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"79","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"85","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"95","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"101","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"111","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"117","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"127","1991-02","0.021860","0.021860","0.010203","0.010203","0.006360","0.006360","10","1819733.74","4412147.41"
"33","1991-02","0.035867","0.035867","0.035412","0.035412","0.024017","0.024017","7","661052.69","2209509.71"
"20","1991-02","-0.010821","-0.010821","-0.006341","-0.006341","-0.012176","-0.012176","3","1158681.05","2202637.70"
"5","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"15","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"21","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"31","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"63","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"37","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"47","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"53","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"69","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"79","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"85","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
"95","1991-03","-0.060425","-0.059840","-0.099663","-0.098917","-0.088522","-0.088183","10","1468212.12","3837938.27"
